younger	1201	1192	9	23.86%	0.22%	99.21%	0.79%	99.21%	0.79%	
than	537	170	367	3.49%	7.42%	31.69%	68.31%	31.69%	68.31%	
check	1117	1073	44	21.49%	0.92%	96.02%	3.98%	96.02%	3.98%	
out	2080	1500	580	30.01%	11.62%	72.10%	27.90%	72.10%	27.90%	
gap	749	748	1	15.01%	0.09%	99.80%	0.20%	99.80%	0.20%	
match	586	576	10	11.59%	0.28%	98.21%	1.79%	98.21%	1.79%	
where	1212	1009	203	20.20%	4.10%	83.22%	16.78%	83.22%	16.78%	
things	252	86	166	1.91%	3.50%	34.19%	65.81%	34.19%	65.81%	
start	118	57	61	1.55%	1.63%	48.32%	51.68%	48.32%	51.68%	
get	1633	973	660	19.48%	13.22%	59.58%	40.42%	59.58%	40.42%	
better	588	263	325	5.34%	6.57%	44.74%	55.26%	44.74%	55.26%	
1	484	350	134	7.09%	2.78%	72.27%	27.73%	72.27%	27.73%	
seeking	1258	1251	7	25.04%	0.18%	99.40%	0.60%	99.40%	0.60%	
over	814	503	311	10.11%	6.27%	61.78%	38.22%	61.78%	38.22%	
32	154	152	2	3.34%	0.36%	98.39%	1.61%	98.39%	1.61%	
647	76	76	0	2.15%	0.65%	99.35%	0.65%	99.35%	0.65%	
quality	299	286	13	5.87%	0.43%	95.50%	4.50%	95.50%	4.50%	
members	303	282	21	5.79%	0.58%	92.93%	7.07%	92.93%	7.07%	
ready	539	508	31	10.23%	0.71%	94.17%	5.83%	94.17%	5.83%	
new	709	558	151	11.21%	3.09%	78.66%	21.34%	78.66%	21.34%	
adventure	507	507	0	10.22%	0.10%	99.90%	0.10%	99.90%	0.10%	
give	1007	847	160	16.97%	3.25%	84.08%	15.92%	84.08%	15.92%	
them	1115	560	555	11.23%	11.13%	50.22%	49.78%	50.22%	49.78%	
saying	137	30	107	0.96%	2.49%	22.10%	77.90%	22.10%	77.90%	
our	668	187	481	3.81%	9.68%	28.03%	71.97%	28.03%	71.97%	
puppet	6	2	4	7.18%	7.21%	35.71%	64.29%	35.71%	64.29%	
troops	20	3	17	2.44%	2.70%	16.67%	83.33%	16.67%	83.33%	
also	350	198	152	4.09%	3.17%	56.55%	43.45%	56.55%	43.45%	
you're	686	511	175	10.28%	3.57%	74.45%	25.55%	74.45%	25.55%	
rule	22	3	19	2.23%	2.54%	15.22%	84.78%	15.22%	84.78%	
right	357	58	299	1.30%	6.10%	16.34%	83.66%	16.34%	83.66%	
coool	1	1	0	25.01%	25.00%	75.00%	25.00%	75.00%	25.00%	
​​​​​​​​​​​​​​​	38	38	0	2.02%	1.28%	98.72%	1.28%	98.72%	1.28%	
c	851	817	34	16.38%	0.74%	95.95%	4.05%	95.95%	4.05%	
​​​​​​​​​​​​​​​h​	6	6	0	7.25%	7.14%	92.86%	7.14%	92.86%	7.14%	
​ϲ​	5	5	0	8.42%	8.33%	91.67%	8.33%	91.67%	8.33%	
​ō	28	28	0	2.26%	1.72%	98.28%	1.72%	98.28%	1.72%	
​​ɱ	27	27	0	2.31%	1.79%	98.21%	1.79%	98.21%	1.79%	
​​​	569	569	0	11.45%	0.09%	99.91%	0.09%	99.91%	0.09%	
cute	16	2	14	2.98%	3.20%	14.71%	85.29%	14.71%	85.29%	
little	241	92	149	2.04%	3.17%	38.22%	61.78%	38.22%	61.78%	
thing	260	39	221	0.97%	4.59%	15.13%	84.87%	15.13%	84.87%	
wonder	66	12	54	0.98%	1.81%	18.66%	81.34%	18.66%	81.34%	
she	594	223	371	4.54%	7.49%	37.56%	62.44%	37.56%	62.44%	
would	969	271	698	5.47%	14.00%	27.99%	72.01%	27.99%	72.01%	
biker	176	171	5	3.68%	0.38%	96.89%	3.11%	96.89%	3.11%	
r	575	516	59	10.39%	1.26%	89.67%	10.33%	89.67%	10.33%	
¡	51	51	0	1.96%	0.96%	99.04%	0.96%	99.04%	0.96%	
d	252	209	43	4.36%	1.05%	82.81%	17.19%	82.81%	17.19%	
t	295	227	68	4.69%	1.52%	76.86%	23.14%	76.86%	23.14%	
bikers	100	100	0	2.48%	0.50%	99.50%	0.50%	99.50%	0.50%	
romance	296	296	0	6.07%	0.17%	99.83%	0.17%	99.83%	0.17%	
